job_id,n,p,creation_time,arrival_time,queue_wait_s,start_time,end_time,duration_s,exit_code,success,stdout_len,stderr_len
1,2,5,2025-10-06T07:48:28.679672+00:00,-1,0.00727,2025-10-06T07:48:28.686942+00:00,2025-10-06T07:48:33.692044+00:00,5.005047,0,True,21,0
2,4,6,2025-10-06T07:48:28.679733+00:00,-1,5.012465,2025-10-06T07:48:33.692198+00:00,2025-10-06T07:48:39.698393+00:00,6.006168,0,True,21,0
3,3,8,2025-10-06T07:48:28.679745+00:00,-1,11.018826,2025-10-06T07:48:39.698571+00:00,2025-10-06T07:48:47.706852+00:00,8.008187,0,True,21,0
4,3,8,2025-10-06T07:48:28.679750+00:00,-1,19.027466,2025-10-06T07:48:47.707216+00:00,2025-10-06T07:48:55.713345+00:00,8.006041,0,True,21,0
5,3,10,2025-10-06T07:48:28.679755+00:00,-1,27.033866,2025-10-06T07:48:55.713621+00:00,2025-10-06T07:49:05.724019+00:00,10.010322,0,True,22,0
6,1,5,2025-10-06T07:48:28.679782+00:00,-1,37.04464,2025-10-06T07:49:05.724422+00:00,2025-10-06T07:49:10.729557+00:00,5.005114,0,True,21,0
7,3,9,2025-10-06T07:48:28.679795+00:00,-1,42.049878,2025-10-06T07:49:10.729673+00:00,2025-10-06T07:49:19.738835+00:00,9.009145,0,True,21,0
8,2,8,2025-10-06T07:48:28.679821+00:00,-1,51.059129,2025-10-06T07:49:19.738950+00:00,2025-10-06T07:49:27.747277+00:00,8.008292,0,True,21,0
9,1,5,2025-10-06T07:48:28.679830+00:00,-1,59.067751,2025-10-06T07:49:27.747581+00:00,2025-10-06T07:49:32.752744+00:00,5.005132,0,True,21,0
10,3,4,2025-10-06T07:48:28.679836+00:00,-1,64.073067,2025-10-06T07:49:32.752903+00:00,2025-10-06T07:49:36.757027+00:00,4.004105,0,True,21,0
